	Australia	China	Hong Kong	Indonesia	Japan	Malaysia	Philippines	Taiwan	Thailand	Vietnam	India	Singapore	Italy	Spain	USA	UAE	Saudi Arabia	Great Britain	Germany	France	Denmark	Sweden	Finland	Norway
Spanish 	755	385	685	369	640	441	876	642	398	455	675	687	872	981	935	688	565	1410	1428	880	745	825	704	593
British 	724	436	624	594	200	652	713	518	449	617	791	768	321	260	580	647	525	1603	510	283	272	352	513	329
French 	714	639	747	471	680	582	836	736	632	728	814	798	601	701	817	729	636	1198	1265	971	685	795	704	542
German 	643	456	665	379	460	351	601	642	551	516	570	646	401	430	746	483	383	899	1775	516	373	573	533	381
Italian 	918	598	829	717	850	742	917	839	704	728	930	899	992	941	1042	893	787	1603	1816	940	866	926	844	608
Danish 	479	324	409	287	140	331	520	404	296	404	477	485	251	200	485	401	293	740	734	354	856	624	442	490
Norwegian 	398	314	430	236	170	311	479	425	306	364	442	485	271	270	450	421	262	546	673	404	272	412	392	593
Finnish 	377	304	389	236	140	261	479	342	265	394	454	374	240	180	320	359	262	405	530	334	131	362	352	205
Swedish 	479	345	491	276	180	361	510	508	296	404	558	636	331	300	568	452	353	828	857	415	292	926	462	454
Greek 	785	324	481	276	220	311	581	497	235	324	535	495	711	621	817	565	515	1304	1612	758	695	855	593	549
Turkish 	724	477	460	666	390	582	622	508	326	475	651	636	471	531	509	791	858	1181	1306	627	504	654	593	454
Moroccan 	51	345	389	399	160	451	510	456	255	263	582	495	501	531	556	647	676	1163	857	819	443	513	503	351
Lebanese 	724	314	317	328	130	431	408	363	224	263	628	505	451	430	556	842	848	1022	714	677	393	674	503	351
Saudi Arabian 	418	314	307	655	110	662	479	342	224	283	698	424	251	280	284	688	898	317	490	293	222	221	422	146
Emirati 	439	294	286	543	140	512	520	497	296	495	733	434	240	270	272	863	716	405	551	303	181	221	422	176
Indian 	755	264	491	502	630	702	560	622	275	445	1082	778	571	521	651	729	767	1480	1265	718	675	674	643	549
Chinese 	877	963	931	584	880	742	897	901	816	738	896	949	621	711	995	709	545	1515	1591	809	735	744	794	564
Thai 	867	446	859	522	480	913	774	787	1000	758	756	919	521	561	805	626	313	1322	1387	708	735	785	724	542
Malaysian 	775	416	685	676	250	973	662	632	347	445	651	919	210	240	403	534	373	1022	694	354	322	302	533	256
Vietnamese 	765	375	788	348	440	451	673	653	683	971	488	677	361	380	699	401	182	934	1163	748	634	543	573	410
Singaporean 	765	548	747	563	330	742	734	704	530	647	721	970	291	270	403	544	262	969	673	313	292	241	543	249
Hong Kong 	694	690	951	481	530	542	815	808	694	687	593	919	351	380	592	462	222	1057	796	445	332	292	573	271
Korean 	673	527	798	645	660	662	887	767	796	819	488	869	321	360	687	514	293	758	918	455	322	483	603	315
Filipino 	571	294	297	297	210	331	988	363	255	384	454	414	251	260	533	493	252	511	775	313	302	252	392	293
Indonesian 	724	314	471	993	320	802	601	508	265	394	558	848	351	340	462	483	464	951	1020	445	443	443	533	315
Taiwanese 	602	649	900	410	660	491	693	995	551	627	488	879	321	360	568	431	242	652	836	465	282	252	553	227
Australian 	908	416	593	420	280	542	754	508	490	576	686	747	351	270	509	534	323	916	734	354	423	342	513	300
Japanese 	632	578	757	594	430	572	591	725	622	667	837	616	621	571	876	596	434	1004	1183	708	614	664	724	447
USA 	551	497	931	768	660	702	540	580	714	637	791	687	541	490	1077	770	666	1233	1081	566	705	634	683	498
Mexican 	785	730	880	727	640	762	723	808	796	778	802	848	772	721	1018	729	646	1339	1448	789	785	775	693	615
Caribbean 	500	548	696	481	330	662	510	559	449	485	535	545	491	541	805	483	333	1163	1020	546	443	483	462	395
Argentinian 	765	781	491	461	290	461	611	559	459	415	523	545	752	771	568	462	293	811	1224	546	453	412	452	395
Brazilian 	673	568	563	492	390	491	499	601	428	404	535	485	661	561	651	493	394	863	1000	586	423	402	462	351
Peruvian 	398	507	450	379	230	271	285	404	214	273	372	303	391	501	521	380	232	476	571	394	211	272	322	220
